iter	Passed	Remaining
0	1	127
1	2	103
2	2	93
3	3	84
4	4	81
5	5	80
6	5	78
7	6	76
8	7	76
9	8	75
10	9	74
11	9	72
12	10	71
13	11	70
14	12	69
15	12	68
16	13	67
17	14	66
18	15	66
19	16	65
20	17	64
21	17	63
22	18	62
23	19	61
24	20	60
25	20	59
26	21	58
27	22	57
28	23	57
29	24	56
30	24	55
31	25	54
32	26	53
33	27	52
34	27	51
35	28	50
36	29	49
37	30	49
38	30	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	35	42
45	35	42
46	36	41
47	37	40
48	38	39
49	38	38
50	39	38
51	40	37
52	40	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	31
58	44	31
59	45	30
60	46	29
61	47	29
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	52	24
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	63	11
85	64	10
86	65	9
87	66	9
88	67	8
89	67	7
90	68	6
91	68	5
92	69	5
93	70	4
94	70	3
95	71	2
96	72	2
97	73	1
98	73	0
99	74	0
